account_id,customer_id,account_type,opened_date,balance
A0055,C0055,savings,2025-07-16,80671.86
A0056,C0056,savings,2023-09-19,174091.68
A0057,C0057,savings,2025-05-20,320191.47
A0058,C0058,savings,2025-05-11,126548.92
A0059,C0059,current,2023-08-31,101210.07
A0060,C0060,savings,2024-11-13,242637.61
A0061,C0061,savings,2024-06-17,286817.5
A0062,C0062,savings,2026-02-12,496360.64
A0063,C0063,savings,2023-11-13,489016.35
A0064,C0064,savings,2024-04-28,138691.23
A0065,C0065,savings,2024-06-11,343528.15
A0066,C0066,savings,2025-05-16,26424.04
A0067,C0067,savings,2026-04-16,249370.19
A0068,C0068,current,2024-12-31,144524.69
A0069,C0069,savings,2024-09-01,304318.37
A0070,C0070,savings,2026-07-06,319035.7
A0071,C0071,savings,2023-12-18,339526.7
A0072,C0072,savings,2023-12-19,330272.41
A0073,C0073,current,2024-03-20,314867.56
A0074,C0074,current,2025-03-24,323877.62
A0075,C0075,savings,2025-12-18,221529.95
A0076,C0076,savings,2026-06-23,366715.16
A0077,C0077,savings,2024-02-23,148965.0
A0078,C0078,savings,2024-11-07,89468.76
A0079,C0079,savings,2026-05-09,270625.06
A0080,C0080,current,2024-09-21,266364.48
A0081,C0081,current,2024-10-30,415575.36
A0082,C0082,savings,2024-03-18,412695.53
A0083,C0083,savings,2026-01-01,403631.27
A0084,C0084,savings,2023-12-22,170680.2
A0085,C0085,savings,2026-02-17,481520.86
A0086,C0086,savings,2023-10-31,483317.1
A0087,C0087,current,2025-03-05,362659.92
A0088,C0088,current,2025-02-27,483700.33
A0089,C0089,current,2024-05-06,184155.97
A0090,C0090,savings,2024-06-01,8931.49
A0091,C0091,savings,2024-10-15,228483.44
A0092,C0092,savings,2023-10-27,336825.72
A0093,C0093,savings,2025-08-12,411563.82
A0094,C0094,current,2024-08-08,55956.36
A0095,C0095,savings,2025-01-18,14462.28
A0096,C0096,current,2025-02-23,281580.88
A0097,C0097,current,2024-02-23,112240.87
A0098,C0098,savings,2023-10-26,412279.96
A0099,C0099,current,2024-12-27,152490.71
A0100,C0100,savings,2025-04-17,71608.95
A0101,C0101,current,2025-07-05,153573.56
A0102,C0102,savings,2026-07-04,50401.62
A0103,C0103,current,2023-12-14,69560.7
A0104,C0104,savings,2024-12-06,335902.14
A0105,C0105,savings,2025-05-14,473095.09
A0106,C0106,savings,2025-06-11,371649.97
A0107,C0107,savings,2025-05-19,208612.49
A0108,C0108,savings,2024-07-19,245694.82
A0109,C0109,savings,2025-07-14,475857.72
A0110,C0110,savings,2025-09-01,186523.92
A0111,C0111,savings,2025-11-05,475376.47
A0112,C0112,current,2026-07-08,51478.6
A0113,C0113,savings,2024-04-12,273144.0
A0114,C0114,current,2025-09-04,180619.57
A0115,C0115,savings,2026-05-02,96524.66
A0116,C0116,savings,2025-05-09,424320.53
A0117,C0117,savings,2024-02-09,332058.83
A0118,C0118,savings,2025-11-09,299378.69
A0119,C0119,savings,2024-03-03,393823.71
A0120,C0120,savings,2026-06-30,64710.09
A0121,C0121,savings,2025-06-20,36167.86
A0122,C0122,savings,2025-07-27,105164.37
A0123,C0123,savings,2025-11-14,435108.32
A0124,C0124,savings,2025-07-11,75481.98
A0125,C0125,current,2024-10-23,3412.1
A0126,C0126,current,2023-12-31,74054.61
A0127,C0127,savings,2025-04-14,126825.79
A0128,C0128,savings,2025-06-02,331206.71
A0129,C0129,savings,2025-06-03,9400.44
A0130,C0130,savings,2025-04-24,120489.94
A0131,C0131,savings,2023-09-06,88774.61
A0132,C0132,savings,2025-06-08,371375.59
A0133,C0133,savings,2024-10-24,373341.31
A0134,C0134,savings,2025-04-23,389452.49
A0135,C0135,savings,2025-08-23,56308.9
A0136,C0136,savings,2026-03-04,472816.99
A0137,C0137,savings,2024-03-25,392047.04
A0138,C0138,current,2024-10-05,261682.7
A0139,C0139,savings,2025-08-03,482085.04
A0140,C0140,savings,2024-11-02,240532.99
A0141,C0141,savings,2025-08-27,343676.55
A0142,C0142,savings,2024-08-10,455031.01
A0143,C0143,savings,2024-09-15,42233.66
A0144,C0144,savings,2024-09-01,34709.75
A0145,C0145,savings,2026-01-20,317272.21
A0146,C0146,savings,2025-03-23,163942.35
A0147,C0147,current,2024-12-23,266217.31
A0148,C0148,savings,2026-02-07,303502.54
A0149,C0149,savings,2023-12-24,351486.15
A0150,C0150,current,2026-07-25,326156.5
A0151,C0151,savings,2025-12-02,360978.28
A0152,C0152,savings,2025-10-21,226874.35
A0153,C0153,savings,2025-09-27,170787.95
A0154,C0154,savings,2026-05-11,209162.85
A0155,C0155,savings,2024-05-27,214528.48
A0156,C0156,savings,2025-07-04,188401.91
A0157,C0157,savings,2024-01-09,461646.55
A0158,C0158,savings,2025-08-18,416222.4
A0159,C0159,savings,2025-10-03,50089.09
A0160,C0160,savings,2024-07-22,406261.1
A0161,C0161,savings,2024-11-04,294059.61
A0162,C0162,savings,2024-06-19,166163.7
A0163,C0163,savings,2025-09-24,178091.84
A0164,C0164,savings,2025-07-24,375641.56
A0165,C0165,current,2024-08-06,361088.22
A0166,C0166,current,2026-06-24,301004.23
A0167,C0167,savings,2025-02-12,289803.42
A0168,C0168,savings,2025-08-01,329054.68
A0169,C0169,savings,2024-08-20,55892.75
A0170,C0170,current,2024-02-29,185045.4
A0171,C0171,savings,2025-09-18,287901.8
A0172,C0172,current,2024-06-24,422887.27
A0173,C0173,current,2024-06-01,409576.58
A0174,C0174,savings,2024-03-11,322064.18
A0175,C0175,savings,2026-01-03,464683.98
A0176,C0176,current,2024-02-03,135188.97
A0177,C0177,savings,2025-09-09,351943.99
A0178,C0178,savings,2023-11-15,171232.68
A0179,C0179,savings,2023-12-07,435191.63
A0180,C0180,savings,2026-02-09,201590.6
A0181,C0181,savings,2026-01-18,317319.66
A0182,C0182,savings,2024-02-28,373563.66
A0183,C0183,savings,2025-04-09,211076.58
A0184,C0184,savings,2026-02-27,186286.44
A0185,C0185,savings,2026-04-01,388864.14
A0186,C0186,savings,2024-10-12,44308.61
A0187,C0187,savings,2024-05-24,80390.13
A0188,C0188,savings,2025-05-23,337636.42
A0189,C0189,savings,2023-10-17,331645.47
A0190,C0190,savings,2025-08-02,222138.0
A0191,C0191,savings,2026-04-24,377961.69
A0192,C0192,savings,2025-12-20,216096.99
A0193,C0193,savings,2024-04-04,339886.15
A0194,C0194,savings,2024-12-17,334232.01
A0195,C0195,savings,2025-08-25,198841.17
A0196,C0196,savings,2025-10-13,5828.17
A0197,C0197,savings,2026-03-14,107194.52
A0198,C0198,savings,2026-03-22,129248.71
A0199,C0199,savings,2024-08-17,5849.49
A0200,C0200,savings,2024-05-26,89496.01
A0201,C0201,savings,2024-11-02,352428.29
A0202,C0202,savings,2024-01-16,417010.39
A0203,C0203,current,2025-01-26,37893.6
A0204,C0204,current,2025-01-21,23066.53
A0205,C0205,savings,2026-06-22,460738.89
A0206,C0206,current,2024-01-11,288728.06
A0207,C0207,savings,2024-02-24,355330.48
A0208,C0208,savings,2026-06-14,59356.34
A0209,C0209,savings,2024-06-14,163734.55
A0210,C0210,current,2023-11-16,309826.38
A0211,C0211,current,2024-11-17,460045.34
A0212,C0212,savings,2023-10-11,422553.21
A0213,C0213,savings,2025-12-30,295257.9
A0214,C0214,savings,2024-08-11,199091.82
A0215,C0215,savings,2026-05-30,171077.61
A0216,C0216,savings,2025-10-26,85730.09
A0217,C0217,savings,2025-08-30,58785.27
A0218,C0218,savings,2025-04-14,453149.52
A0219,C0219,savings,2023-12-14,364234.79
A0220,C0220,current,2025-10-24,407888.43
A0221,C0221,savings,2024-12-03,74929.22
A0222,C0222,savings,2025-12-11,301994.69
A0223,C0223,savings,2026-01-01,328443.49
A0224,C0224,savings,2024-06-16,386878.35
A0225,C0225,savings,2025-05-27,377714.02
A0226,C0226,savings,2025-04-11,225554.82
A0227,C0227,current,2023-10-24,283116.91
A0228,C0228,savings,2024-01-30,313011.85
A0229,C0229,current,2025-08-06,314354.27
A0230,C0230,savings,2026-06-10,36006.56
A0231,C0231,savings,2024-10-12,152804.58
A0232,C0232,savings,2025-01-19,29973.72
A0233,C0233,savings,2025-12-15,156583.11
A0234,C0234,savings,2026-05-04,30331.25
A0235,C0235,current,2025-07-02,40212.04
A0236,C0236,current,2024-05-12,427936.1
A0237,C0237,savings,2025-01-12,254519.77
A0238,C0238,savings,2025-04-01,278049.55
A0239,C0239,savings,2025-11-30,448146.63
A0240,C0240,savings,2024-05-25,405288.33
A0241,C0241,savings,2025-10-09,162120.33
A0242,C0242,savings,2026-05-14,77128.82
A0243,C0243,savings,2026-06-28,53543.93
A0244,C0244,current,2026-07-15,173032.01
A0245,C0245,savings,2025-02-14,253265.4
A0246,C0246,savings,2025-08-06,125376.37
A0247,C0247,savings,2025-09-16,220832.05
A0248,C0248,savings,2026-02-01,81055.61
A0249,C0249,savings,2023-10-01,142881.0
A0250,C0250,savings,2026-01-23,170506.84
A0251,C0251,savings,2024-08-19,395035.01
A0252,C0252,savings,2026-04-18,34824.1
A0253,C0253,savings,2026-04-28,339832.91
A0254,C0254,savings,2023-10-18,362419.36
A0255,C0255,savings,2024-11-28,453358.66
A0256,C0256,current,2024-07-04,168014.29
A0257,C0257,savings,2025-10-15,72431.33
A0258,C0258,savings,2025-09-14,483912.86
A0259,C0259,savings,2025-08-24,197195.08
A0260,C0260,savings,2026-07-13,469125.1
A0261,C0261,savings,2025-05-01,189586.29
A0262,C0262,savings,2024-03-06,406966.02
A0263,C0263,savings,2026-02-21,414821.57
A0264,C0264,savings,2026-07-11,343336.39
A0265,C0265,savings,2026-04-16,323720.36
A0266,C0266,savings,2026-05-11,182190.39
A0267,C0267,savings,2024-02-25,91770.94
A0268,C0268,savings,2024-12-12,473938.8
A0269,C0269,savings,2024-08-26,114818.44
A0270,C0270,savings,2025-03-26,40428.21
A0271,C0271,current,2026-06-10,52368.1
A0272,C0272,savings,2024-11-04,417889.67
A0273,C0273,current,2025-07-16,20798.25
A0274,C0274,savings,2024-01-29,383621.19
A0275,C0275,savings,2025-05-07,189606.5
A0276,C0276,savings,2025-08-03,416009.84
A0277,C0277,savings,2023-11-14,404903.77
A0278,C0278,savings,2026-01-21,219961.36
A0279,C0279,savings,2026-02-23,338828.74
A0280,C0280,savings,2024-04-13,223210.96
A0281,C0281,savings,2024-03-16,374771.19
A0282,C0282,savings,2026-06-19,267937.55
A0283,C0283,savings,2025-03-06,404694.69
A0284,C0284,savings,2024-05-24,417886.47
A0285,C0285,savings,2025-06-11,473670.82
A0286,C0286,current,2025-07-24,231916.63
A0287,C0287,savings,2025-07-30,192172.47
A0288,C0288,savings,2024-12-08,483201.54
A0289,C0289,current,2025-09-10,401027.09
A0290,C0290,savings,2025-09-27,126501.6
A0291,C0291,savings,2025-01-09,437310.24
A0292,C0292,savings,2024-10-28,53089.69
A0293,C0293,current,2024-11-28,425880.69
A0294,C0294,savings,2024-01-29,382032.18
A0295,C0295,savings,2025-07-29,452842.49
A0296,C0296,savings,2025-08-01,219861.33
A0297,C0297,current,2024-12-25,112574.93
A0298,C0298,savings,2025-03-31,176093.37
A0299,C0299,savings,2024-01-16,28521.93
A0300,C0300,savings,2024-01-25,119417.48
