device_id,customer_id,device_type,first_seen,is_trusted
D00267,C0178,mobile,2025-04-29,True
D00268,C0178,tablet,2024-12-22,True
D00269,C0179,mobile,2025-08-03,True
D00270,C0180,desktop,2024-10-19,True
D00271,C0180,mobile,2025-08-26,True
D00272,C0181,desktop,2025-08-05,True
D00273,C0182,desktop,2025-12-30,True
D00274,C0183,mobile,2025-04-19,True
D00275,C0184,mobile,2026-05-07,True
D00276,C0184,pos_terminal,2025-03-28,True
D00277,C0184,pos_terminal,2025-11-29,True
D00278,C0185,mobile,2024-10-09,True
D00279,C0186,mobile,2025-05-27,True
D00280,C0187,mobile,2025-09-25,True
D00281,C0187,tablet,2024-10-23,True
D00282,C0188,desktop,2025-04-25,True
D00283,C0189,mobile,2025-08-20,True
D00284,C0190,mobile,2025-08-13,True
D00285,C0190,mobile,2024-09-25,True
D00286,C0191,desktop,2024-10-10,True
D00287,C0192,mobile,2025-06-09,True
D00288,C0193,tablet,2026-06-03,True
D00289,C0193,mobile,2025-04-06,True
D00290,C0194,mobile,2024-10-25,True
D00291,C0194,mobile,2026-01-09,True
D00292,C0195,tablet,2026-06-29,True
D00293,C0196,desktop,2026-06-22,True
D00294,C0197,mobile,2024-11-05,True
D00295,C0198,mobile,2025-12-17,True
D00296,C0199,mobile,2025-12-01,True
D00297,C0200,mobile,2025-09-24,True
D00298,C0200,mobile,2025-06-21,True
D00299,C0201,mobile,2025-08-21,True
D00300,C0201,desktop,2025-11-20,True
D00301,C0202,desktop,2025-10-31,True
D00302,C0203,mobile,2026-05-04,True
D00303,C0203,tablet,2026-03-23,True
D00304,C0204,desktop,2026-07-23,True
D00305,C0205,mobile,2024-09-27,True
D00306,C0205,mobile,2025-08-11,True
D00307,C0205,mobile,2026-08-03,True
D00308,C0206,mobile,2026-05-18,True
D00309,C0206,pos_terminal,2025-11-14,True
D00310,C0207,mobile,2026-01-15,True
D00311,C0207,mobile,2025-01-20,True
D00312,C0208,mobile,2025-05-03,True
D00313,C0209,mobile,2025-12-09,True
D00314,C0209,mobile,2025-08-31,True
D00315,C0210,mobile,2025-09-20,True
D00316,C0210,mobile,2024-12-22,True
D00317,C0211,desktop,2024-10-14,True
D00318,C0212,mobile,2025-08-11,True
D00319,C0212,mobile,2024-11-15,True
D00320,C0212,tablet,2026-05-18,True
D00321,C0213,pos_terminal,2026-07-26,True
D00322,C0214,desktop,2026-06-08,True
D00323,C0215,mobile,2025-05-20,True
D00324,C0215,desktop,2026-03-04,True
D00325,C0216,mobile,2024-10-31,True
D00326,C0216,tablet,2025-09-22,True
D00327,C0217,tablet,2026-01-10,True
D00328,C0218,desktop,2025-01-08,True
D00329,C0219,mobile,2024-09-26,True
D00330,C0220,mobile,2025-03-07,True
D00331,C0221,mobile,2026-02-27,True
D00332,C0221,mobile,2025-08-02,True
D00333,C0221,mobile,2025-08-03,True
D00334,C0222,desktop,2025-10-08,True
D00335,C0222,desktop,2025-10-07,True
D00336,C0223,tablet,2025-12-13,True
D00337,C0224,mobile,2024-12-28,True
D00338,C0225,mobile,2025-06-05,True
D00339,C0226,desktop,2025-06-12,True
D00340,C0226,mobile,2026-08-09,True
D00341,C0227,mobile,2025-04-03,True
D00342,C0227,mobile,2025-06-23,True
D00343,C0227,mobile,2025-07-10,True
D00344,C0228,mobile,2026-04-20,True
D00345,C0228,desktop,2025-05-16,True
D00346,C0229,mobile,2026-02-05,True
D00347,C0230,mobile,2025-12-04,True
D00348,C0231,mobile,2024-10-06,True
D00349,C0232,desktop,2026-05-02,True
D00350,C0233,desktop,2025-12-30,True
D00351,C0234,mobile,2026-01-11,True
D00352,C0235,mobile,2025-05-13,True
D00353,C0236,mobile,2024-10-17,True
D00354,C0237,mobile,2025-05-10,True
D00355,C0238,desktop,2024-11-08,True
D00356,C0238,desktop,2025-11-03,True
D00357,C0239,mobile,2026-02-04,True
D00358,C0239,pos_terminal,2025-06-23,True
D00359,C0239,mobile,2025-04-04,True
D00360,C0240,pos_terminal,2025-03-10,True
D00361,C0240,mobile,2026-03-12,True
D00362,C0240,mobile,2026-06-19,True
D00363,C0241,desktop,2026-01-18,True
D00364,C0242,mobile,2026-07-31,True
D00365,C0243,mobile,2025-12-08,True
D00366,C0243,mobile,2026-07-06,True
D00367,C0244,tablet,2024-12-21,True
D00368,C0245,desktop,2025-05-12,True
D00369,C0245,pos_terminal,2024-10-29,True
D00370,C0246,mobile,2025-11-22,True
D00371,C0247,mobile,2026-01-24,True
D00372,C0248,mobile,2024-12-14,True
D00373,C0248,mobile,2026-08-09,True
D00374,C0249,desktop,2025-05-25,True
D00375,C0250,mobile,2025-04-24,True
D00376,C0250,mobile,2026-01-18,True
D00377,C0251,tablet,2026-02-20,True
D00378,C0251,mobile,2026-01-23,True
D00379,C0252,desktop,2025-06-27,True
D00380,C0253,mobile,2024-12-05,True
D00381,C0254,mobile,2025-12-02,True
D00382,C0255,desktop,2026-02-28,True
D00383,C0256,mobile,2026-08-25,True
D00384,C0256,mobile,2024-10-31,True
D00385,C0257,pos_terminal,2025-04-24,True
D00386,C0258,mobile,2025-11-04,True
D00387,C0258,desktop,2025-06-15,True
D00388,C0259,mobile,2026-01-08,True
D00389,C0260,mobile,2026-05-03,True
D00390,C0260,tablet,2025-05-09,True
D00391,C0261,mobile,2026-05-20,True
D00392,C0261,desktop,2024-12-04,True
D00393,C0262,mobile,2026-01-29,True
D00394,C0262,desktop,2026-02-23,True
D00395,C0263,mobile,2026-06-01,True
D00396,C0264,desktop,2026-03-23,True
D00397,C0265,tablet,2026-02-10,True
D00398,C0266,mobile,2026-08-05,True
D00399,C0266,mobile,2025-10-09,True
D00400,C0267,desktop,2024-11-07,True
D00401,C0268,desktop,2026-01-10,True
D00402,C0268,mobile,2026-01-29,True
D00403,C0269,mobile,2025-07-21,True
D00404,C0270,mobile,2025-09-25,True
D00405,C0271,desktop,2025-06-04,True
D00406,C0272,desktop,2024-09-10,True
D00407,C0272,desktop,2025-06-04,True
D00408,C0272,desktop,2025-04-23,True
D00409,C0273,mobile,2025-01-14,True
D00410,C0274,desktop,2025-02-09,True
D00411,C0275,desktop,2025-05-19,True
D00412,C0276,mobile,2026-04-14,True
D00413,C0276,mobile,2025-09-08,True
D00414,C0277,mobile,2025-01-23,True
D00415,C0278,tablet,2025-02-18,True
D00416,C0279,mobile,2024-12-11,True
D00417,C0280,desktop,2024-12-25,True
D00418,C0280,mobile,2024-10-25,True
D00419,C0281,mobile,2025-04-13,True
D00420,C0281,mobile,2026-06-13,True
D00421,C0282,mobile,2026-05-01,True
D00422,C0282,mobile,2024-11-13,True
D00423,C0283,mobile,2025-09-25,True
D00424,C0284,tablet,2026-04-17,True
D00425,C0285,mobile,2025-10-20,True
D00426,C0286,pos_terminal,2026-06-06,True
D00427,C0286,mobile,2026-03-23,True
D00428,C0286,pos_terminal,2026-07-14,True
D00429,C0287,desktop,2025-10-09,True
D00430,C0287,mobile,2024-09-25,True
D00431,C0288,desktop,2026-01-23,True
D00432,C0288,mobile,2025-05-15,True
D00433,C0289,mobile,2026-07-08,True
D00434,C0290,mobile,2026-04-14,True
D00435,C0290,mobile,2025-12-20,True
D00436,C0290,tablet,2024-12-06,True
D00437,C0291,desktop,2025-12-03,True
D00438,C0292,mobile,2025-06-15,True
D00439,C0293,mobile,2024-12-24,True
D00440,C0294,mobile,2024-12-31,True
D00441,C0295,mobile,2025-01-14,True
D00442,C0296,desktop,2026-06-03,True
D00443,C0296,mobile,2026-02-16,True
D00444,C0297,mobile,2026-04-17,True
D00445,C0298,pos_terminal,2025-12-25,True
D00446,C0298,mobile,2026-05-17,True
D00447,C0299,desktop,2026-07-29,True
D00448,C0300,tablet,2025-01-02,True
