transaction_id,customer_id,account_id,card_id,device_id,merchant_id,beneficiary_id,amount,currency,location,timestamp,payment_method,is_fraud,attack_id
TXE1637B33D9,C0034,A0034,CARD0034,D00051,M0104,,574.46,INR,Delhi,2026-05-31T13:08:45,card,False,
TX885E5C6E9A,C0011,A0011,CARD0011,D00019,M0126,,1453.84,INR,Chennai,2026-05-31T13:10:25,wallet,False,
TX1AA2EF9B3D,C0019,A0019,CARD0019,D00031,M0064,,706.71,INR,Mumbai,2026-05-31T13:12:54,netbanking,False,
TX3387612889,C0028,A0028,CARD0028,D00043,M0069,,2719.46,INR,Delhi,2026-05-31T13:16:26,upi,False,
TXF407D9A158,C0279,A0279,CARD0279,D00416,M0112,,1377.03,INR,Pune,2026-05-31T13:17:00,card,False,
TX3001A0A55B,C0017,A0017,CARD0017,D00026,M0021,B0084,386.83,INR,Mumbai,2026-05-31T13:21:11,wallet,False,
TXD3988E73C0,C0199,A0199,CARD0199,D00296,M0003,,1549.19,INR,Pune,2026-05-31T13:24:44,card,False,
TX4BFF8EDF1A,C0087,A0087,CARD0087,D00126,M0084,,2735.54,INR,Pune,2026-05-31T13:29:18,card,False,
TX5067C5C9B7,C0224,A0224,CARD0224,D00337,M0087,,917.83,INR,Kolkata,2026-05-31T13:29:57,upi,False,
TX36D0A86C86,C0245,A0245,CARD0245,D00369,M0053,,103.83,INR,Hyderabad,2026-05-31T13:30:11,card,False,
TX69740471E1,C0247,A0247,CARD0247,D00371,M0073,,369.54,INR,Hyderabad,2026-05-31T13:50:43,card,False,
TX26CA006C46,C0283,A0283,CARD0283,D00423,M0122,B0046,805.63,INR,Kolkata,2026-05-31T13:56:49,card,False,
TX49273236CD,C0255,A0255,CARD0255,D00382,M0106,,680.95,INR,Hyderabad,2026-05-31T13:59:18,card,False,
TX00D6BB28D2,C0028,A0028,CARD0028,D00042,M0094,B0041,4529.98,INR,Delhi,2026-05-31T14:05:33,card,False,
TXA01524E7EF,C0134,A0134,CARD0134,D00202,M0075,,672.57,INR,Chennai,2026-05-31T14:08:55,wallet,False,
TX128F6FD1D0,C0259,A0259,CARD0259,D00388,M0011,,797.44,INR,Kolkata,2026-05-31T14:17:18,card,False,
TX7C74AE5BEC,C0129,A0129,CARD0129,D00194,M0067,,740.98,INR,Ahmedabad,2026-05-31T14:19:45,upi,False,
TX91DF5049AE,C0165,A0165,CARD0165,D00248,M0081,B0067,420.6,INR,Ahmedabad,2026-05-31T14:31:08,card,False,
TX5157E1D8CE,C0165,A0165,CARD0165,D00248,M0079,,410.17,INR,Ahmedabad,2026-05-31T14:32:50,wallet,False,
TX983C0B43D4,C0102,A0102,CARD0102,D00152,M0098,B0030,460.45,INR,Hyderabad,2026-05-31T14:39:16,card,False,
TXBE363A247C,C0050,A0050,CARD0050,D00073,M0041,,488.29,INR,Pune,2026-05-31T14:46:51,upi,False,
TX19E13E35F0,C0227,A0227,CARD0227,D00342,M0103,,2327.31,INR,Hyderabad,2026-05-31T14:54:08,card,False,
TX0617C06E7E,C0243,A0243,CARD0243,D00366,M0148,,50.0,INR,Hyderabad,2026-05-31T14:54:44,card,False,
TXFBFF2F9006,C0145,A0145,CARD0145,D00222,M0058,,558.13,INR,Mumbai,2026-05-31T14:55:32,netbanking,False,
TXAC0E068461,C0219,A0219,CARD0219,D00329,M0024,,565.8,INR,Hyderabad,2026-05-31T14:57:12,upi,False,
TX0D7D555E05,C0223,A0223,CARD0223,D00336,M0052,,269.21,INR,Delhi,2026-05-31T14:57:23,card,False,
TX2E0349895C,C0129,A0129,CARD0129,D00194,M0134,,630.78,INR,Ahmedabad,2026-05-31T15:01:00,wallet,False,
TX0E8FBBA7C1,C0273,A0273,CARD0273,D00409,M0005,,1421.52,INR,Hyderabad,2026-05-31T15:01:49,card,False,
TX02B7FD99D0,C0113,A0113,CARD0113,D00167,M0059,,6146.69,INR,Bangalore,2026-05-31T15:07:51,upi,False,
TX2A4F941068,C0011,A0011,CARD0011,D00019,M0041,,1128.13,INR,Chennai,2026-05-31T15:08:16,upi,False,
TX4AC538C5F2,C0223,A0223,CARD0223,D00336,M0038,,341.67,INR,Delhi,2026-05-31T15:16:21,upi,False,
TX7230C4F2F7,C0279,A0279,CARD0279,D00416,M0094,,1459.1,INR,Pune,2026-05-31T15:22:55,upi,False,
TX9B0436AEDA,C0201,A0201,CARD0201,D00300,M0111,,1975.07,INR,Bangalore,2026-05-31T15:27:34,netbanking,False,
TXFDC189830D,C0038,A0038,CARD0038,D00056,M0045,,1144.61,INR,Kolkata,2026-05-31T15:31:24,upi,False,
TXD83460A0AB,C0061,A0061,CARD0061,D00087,M0150,,523.45,INR,Delhi,2026-05-31T15:31:55,wallet,False,
TXFA0FB2E987,C0040,A0040,CARD0040,D00058,M0007,B0042,382.85,INR,Mumbai,2026-05-31T15:35:52,card,False,
TX300E50693E,C0028,A0028,CARD0028,D00043,M0109,,3060.5,INR,Delhi,2026-05-31T15:38:14,upi,False,
TX34C1D202DA,C0201,A0201,CARD0201,D00300,M0009,,1755.27,INR,Bangalore,2026-05-31T15:38:51,upi,False,
TXC955EC006C,C0017,A0017,CARD0017,D00028,M0021,,469.26,INR,Mumbai,2026-05-31T15:44:02,upi,False,
TXD5BC3CADE9,C0284,A0284,CARD0284,D00424,M0032,,1249.3,INR,Mumbai,2026-05-31T15:45:45,upi,False,
TX2BD96E00AB,C0221,A0221,CARD0221,D00331,M0149,,449.69,INR,Hyderabad,2026-05-31T15:50:43,upi,False,
TX7713C42F31,C0223,A0223,CARD0223,D00336,M0052,B0094,255.74,INR,Delhi,2026-05-31T15:52:20,wallet,False,
TXC347ABD96F,C0273,A0273,CARD0273,D00409,M0014,,1344.31,INR,Hyderabad,2026-05-31T17:31:43,card,False,
TX14C092D43A,C0224,A0224,CARD0224,D00337,M0148,,363.76,INR,Kolkata,2026-05-31T17:53:04,card,False,
TXA20B61A9E7,C0069,A0069,CARD0069,D00098,M0112,,495.91,INR,Kolkata,2026-05-31T18:31:35,upi,False,
TX64A66D59BF,C0033,A0033,CARD0033,D00050,M0080,,1368.13,INR,Hyderabad,2026-05-31T18:32:04,card,False,
TXC19989D91D,C0002,A0002,CARD0002,D00002,M0015,,315.79,INR,Delhi,2026-05-31T18:35:15,netbanking,False,
TX162F171087,C0030,A0030,CARD0030,D00045,M0108,B0014,950.39,INR,Kolkata,2026-05-31T18:35:30,card,False,
TX61F2AD2DC8,C0060,A0060,CARD0060,D00086,M0116,,978.68,INR,Mumbai,2026-05-31T18:37:52,card,False,
TX380A64BD3A,C0009,A0009,CARD0009,D00015,M0007,,897.2,INR,Bangalore,2026-05-31T18:42:22,card,False,
TXEDB918D76A,C0236,A0236,CARD0236,D00353,M0015,,1342.29,INR,Chennai,2026-05-31T18:45:32,upi,False,
TX71961F2F55,C0010,A0010,CARD0010,D00018,M0076,,469.41,INR,Hyderabad,2026-05-31T19:06:26,card,False,
TX2D2EC6FAA3,C0048,A0048,CARD0048,D00070,M0098,,507.09,INR,Bangalore,2026-05-31T19:10:42,card,False,
TXF0A17926E3,C0277,A0277,CARD0277,D00414,M0101,,305.61,INR,Chennai,2026-05-31T19:15:31,upi,False,
TX9044D910C6,C0105,A0105,CARD0105,D00157,M0104,,1275.24,INR,Hyderabad,2026-05-31T19:18:42,card,False,
TXD7986F48B6,C0230,A0230,CARD0230,D00347,M0065,,860.54,INR,Kolkata,2026-05-31T19:57:20,wallet,False,
TX0B48DE5967,C0277,A0277,CARD0277,D00414,M0085,,165.3,INR,Chennai,2026-05-31T19:57:22,card,False,
TX16A3B5E9CD,C0239,A0239,CARD0239,D00357,M0149,,691.48,INR,Mumbai,2026-05-31T19:59:37,upi,False,
TXD38734A3C7,C0155,A0155,CARD0155,D00235,M0054,,2874.37,INR,Chennai,2026-05-31T20:07:43,card,False,
TX39D98F94E8,C0141,A0141,CARD0141,D00215,M0007,,483.53,INR,Delhi,2026-05-31T20:13:02,wallet,False,
TX905C4F9C68,C0115,A0115,CARD0115,D00171,M0040,,1668.62,INR,Mumbai,2026-05-31T20:19:05,card,False,
TXE8EFB91A87,C0033,A0033,CARD0033,D00050,M0054,B0023,1185.04,INR,Delhi,2026-05-31T20:29:54,card,False,
TXD44A949B5F,C0230,A0230,CARD0230,D00347,M0009,,686.79,INR,Kolkata,2026-05-31T20:41:06,upi,False,
TX4D7BD89CAC,C0250,A0250,CARD0250,D00375,M0004,,1737.37,INR,Chennai,2026-05-31T20:43:49,upi,False,
TXAF6BDC3C51,C0093,A0093,CARD0093,D00137,M0129,,2113.58,INR,Mumbai,2026-05-31T20:51:56,upi,False,
TX0D1B14BC64,C0030,A0030,CARD0030,D00045,M0080,,1195.59,INR,Kolkata,2026-05-31T20:52:38,upi,False,
TX7CAD477C01,C0084,A0084,CARD0084,D00121,M0113,,459.11,INR,Ahmedabad,2026-05-31T21:00:30,card,False,
TX27A5712D2D,C0018,A0018,CARD0018,D00029,M0116,,2801.72,INR,Hyderabad,2026-05-31T21:01:38,card,False,
TX86B11F3C62,C0190,A0190,CARD0190,D00284,M0071,B0163,306.12,INR,Pune,2026-05-31T21:09:32,card,False,
TXBC5F78E780,C0002,A0002,CARD0002,D00002,M0134,,338.7,INR,Delhi,2026-05-31T21:15:09,upi,False,
TX6D5B2F3247,C0084,A0084,CARD0084,D00121,M0013,,273.74,INR,Ahmedabad,2026-05-31T21:21:42,card,False,
TX4545C6D09B,C0270,A0270,CARD0270,D00404,M0041,,446.69,INR,Delhi,2026-05-31T21:22:50,card,False,
TXD66208B992,C0118,A0118,CARD0118,D00177,M0012,B0144,949.54,INR,Hyderabad,2026-05-31T21:26:41,upi,False,
TXEF7F327371,C0295,A0295,CARD0295,D00441,M0012,,1637.23,INR,Hyderabad,2026-05-31T21:28:44,wallet,False,
TXF539E54DEC,C0063,A0063,CARD0063,D00090,M0075,,407.68,INR,Delhi,2026-05-31T21:30:16,card,False,
TXED5113136F,C0265,A0265,CARD0265,D00397,M0132,,598.54,INR,Ahmedabad,2026-05-31T21:33:30,upi,False,
TX74BF9A43F9,C0242,A0242,CARD0242,D00364,M0004,,449.9,INR,Ahmedabad,2026-05-31T21:34:13,card,False,
TX0BFAFDEEDE,C0295,A0295,CARD0295,D00441,M0130,,1956.29,INR,Hyderabad,2026-05-31T21:35:20,card,False,
TX894CA524A8,C0214,A0214,CARD0214,D00322,M0112,,692.36,INR,Chennai,2026-05-31T21:38:13,card,False,
TX7956BE5624,C0154,A0154,CARD0154,D00234,M0014,B0041,1366.22,INR,Bangalore,2026-05-31T21:38:24,card,False,
TX951B1512DE,C0225,A0225,CARD0225,D00338,M0019,,792.01,INR,Chennai,2026-05-31T21:38:30,upi,False,
TXBD13FCAA87,C0276,A0276,CARD0276,D00413,M0028,,3755.38,INR,Pune,2026-05-31T21:42:12,card,False,
TXAFCD636B6D,C0244,A0244,CARD0244,D00367,M0014,,904.92,INR,Hyderabad,2026-05-31T21:43:00,upi,False,
TX089DA9A7D7,C0253,A0253,CARD0253,D00380,M0056,,2633.89,INR,Ahmedabad,2026-05-31T21:51:09,card,False,
TX3B2EF5FA0C,C0065,A0065,CARD0065,D00092,M0068,,1010.2,INR,Hyderabad,2026-05-31T21:55:08,card,False,
TX50B2906CAA,C0174,A0174,CARD0174,D00260,M0139,,1320.46,INR,Ahmedabad,2026-05-31T22:01:11,card,False,
TX57D09261E4,C0047,A0047,CARD0047,D00067,M0023,,316.29,INR,Delhi,2026-05-31T22:14:51,upi,False,
TX6C86A75F45,C0253,A0253,CARD0253,D00380,M0124,,2926.35,INR,Ahmedabad,2026-05-31T22:15:30,card,False,
TXBDC6E5320D,C0180,A0180,CARD0180,D00270,M0006,,252.66,INR,Pune,2026-05-31T22:21:11,upi,False,
TXBE117437B6,C0277,A0277,CARD0277,D00414,M0117,,506.66,INR,Chennai,2026-05-31T22:22:37,card,False,
TX55021385AC,C0252,A0252,CARD0252,D00379,M0105,,300.66,INR,Mumbai,2026-05-31T22:22:54,wallet,False,
TXB6D43DC595,C0084,A0084,CARD0084,D00121,M0055,,493.64,INR,Ahmedabad,2026-05-31T22:24:41,wallet,False,
TX9245421A05,C0118,A0118,CARD0118,D00177,M0123,,956.93,INR,Hyderabad,2026-05-31T22:30:03,upi,False,
TX0FC75E3BAC,C0184,A0184,CARD0184,D00275,M0016,,9264.26,INR,Hyderabad,2026-05-31T22:30:35,card,False,
TX21CD694C83,C0104,A0104,CARD0104,D00156,M0134,,1016.45,INR,Pune,2026-05-31T22:31:31,card,False,
TXF23DD61B77,C0094,A0094,CARD0094,D00138,M0033,,690.09,INR,Chennai,2026-05-31T22:31:34,upi,False,
TXEE6C571651,C0209,A0209,CARD0209,D00313,M0050,B0119,316.24,INR,Mumbai,2026-05-31T22:41:59,card,False,
TXFDC0D05736,C0063,A0063,CARD0063,D00089,M0085,,193.26,INR,Delhi,2026-05-31T22:42:50,wallet,False,
TXC656428C1C,C0270,A0270,CARD0270,D00404,M0009,,247.67,INR,Delhi,2026-05-31T22:43:26,upi,False,
TXDCFBE6FFA6,C0224,A0224,CARD0224,D00337,M0007,,502.57,INR,Kolkata,2026-05-31T22:48:13,card,False,
TX3E60A486A6,C0009,A0009,CARD0009,D00016,M0033,,1605.61,INR,Bangalore,2026-05-31T22:50:26,card,False,
TX9FC3A42635,C0029,A0029,CARD0029,D00044,M0062,,382.39,INR,Chennai,2026-05-31T22:52:13,card,False,
TX44B4893FDC,C0207,A0207,CARD0207,D00310,M0095,B0076,1260.37,INR,Hyderabad,2026-05-31T22:53:16,upi,False,
TXE90510D36B,C0251,A0251,CARD0251,D00377,M0009,,3593.26,INR,Hyderabad,2026-05-31T22:53:21,upi,False,
TX025AEA5813,C0266,A0266,CARD0266,D00399,M0032,,1524.24,INR,Hyderabad,2026-05-31T22:53:30,wallet,False,
TX20A6923683,C0055,A0055,CARD0055,D00080,M0010,,570.76,INR,Bangalore,2026-05-31T22:54:27,upi,False,
TX634F258465,C0294,A0294,CARD0294,D00440,M0001,,7068.37,INR,Ahmedabad,2026-05-31T22:57:13,wallet,False,
TX32BEDBAF38,C0260,A0260,CARD0260,D00389,M0147,B0193,209.0,INR,Pune,2026-05-31T22:58:24,card,False,
TXAD5B4AEC9E,C0125,A0125,CARD0125,D00189,M0133,,4856.85,INR,Bangalore,2026-05-31T23:00:36,card,False,
TXE7E9DA7B1D,C0253,A0253,CARD0253,D00380,M0124,,2554.96,INR,Ahmedabad,2026-05-31T23:13:59,card,False,
TX5517DB07D2,C0162,A0162,CARD0162,D00245,M0071,,428.01,INR,Pune,2026-05-31T23:19:02,card,False,
TX56941E1F34,C0018,A0018,CARD0018,D00029,M0112,,5764.05,INR,Hyderabad,2026-05-31T23:23:36,wallet,False,
TX2ED892493C,C0174,A0174,CARD0174,D00260,M0090,,1121.95,INR,Ahmedabad,2026-05-31T23:25:47,wallet,False,
TX5137C75734,C0179,A0179,CARD0179,D00269,M0107,,1296.34,INR,Chennai,2026-05-31T23:26:52,card,False,
TXE00DFFC6DB,C0253,A0253,CARD0253,D00380,M0129,B0151,1539.44,INR,Ahmedabad,2026-05-31T23:27:20,upi,False,
TXD0084D4A3F,C0071,A0071,CARD0071,D00101,M0127,,273.54,INR,Mumbai,2026-05-31T23:27:53,card,False,
TXF5A1B9415D,C0240,A0240,CARD0240,D00362,M0003,,2334.67,INR,Mumbai,2026-05-31T23:29:49,netbanking,False,
TXDE91368305,C0294,A0294,CARD0294,D00440,M0063,,7632.59,INR,Ahmedabad,2026-05-31T23:32:49,upi,False,
TX904698D06F,C0104,A0104,CARD0104,D00156,M0066,B0149,479.99,INR,Pune,2026-05-31T23:33:59,netbanking,False,
TXDAB974FED5,C0055,A0055,CARD0055,D00080,M0028,,305.59,INR,Bangalore,2026-05-31T23:35:12,card,False,
TXC7D387A49B,C0224,A0224,CARD0224,D00337,M0087,,325.34,INR,Kolkata,2026-05-31T23:42:14,card,False,
TXF5676E7C95,C0117,A0117,CARD0117,D00175,M0078,,570.51,INR,Bangalore,2026-05-31T23:48:05,netbanking,False,
TX229E3C4443,C0157,A0157,CARD0157,D00239,M0010,,591.87,INR,Delhi,2026-05-31T23:56:18,netbanking,False,
TX1D36A18F4B,C0136,A0136,CARD0136,D00204,M0127,,801.5,INR,Hyderabad,2026-06-01T00:03:55,wallet,False,
TX09622D36E5,C0266,A0266,CARD0266,D00398,M0016,,853.03,INR,Hyderabad,2026-06-01T03:40:35,upi,False,
TX6F0E56BB43,C0014,A0014,CARD0014,D00022,M0062,,1324.9,INR,Ahmedabad,2026-06-01T04:10:15,wallet,False,
TX3C95226C11,C0269,A0269,CARD0269,D00403,M0150,,1409.27,INR,Delhi,2026-06-01T06:50:58,netbanking,False,
TX2739A2CC59,C0020,A0020,CARD0020,D00032,M0130,,335.03,INR,Chennai,2026-06-01T07:07:47,upi,False,
TX8D233B5B2D,C0164,A0164,CARD0164,D00247,M0110,,222.09,INR,Bangalore,2026-06-01T07:27:30,card,False,
TX514F86E669,C0138,A0138,CARD0138,D00210,M0059,,1537.1,INR,Chennai,2026-06-01T07:33:34,upi,False,
TXC67CA080D1,C0228,A0228,CARD0228,D00344,M0014,,585.04,INR,Hyderabad,2026-06-01T07:50:47,upi,False,
TXFD3C3ECED4,C0183,A0183,CARD0183,D00274,M0097,,271.85,INR,Kolkata,2026-06-01T08:01:42,card,False,
TX37CC921F6C,C0085,A0085,CARD0085,D00123,M0060,B0127,2250.43,INR,Delhi,2026-06-01T08:03:32,card,False,
TX5DFED6FF0C,C0216,A0216,CARD0216,D00326,M0093,,215.0,INR,Ahmedabad,2026-06-01T08:05:55,upi,False,
TXFE0A98BB1B,C0183,A0183,CARD0183,D00274,M0075,,466.07,INR,Kolkata,2026-06-01T08:12:48,card,False,
TXEF7A86CF8A,C0100,A0100,CARD0100,D00150,M0080,,323.95,INR,Hyderabad,2026-06-01T08:13:58,card,False,
TX41322E4EF6,C0107,A0107,CARD0107,D00159,M0142,,105.96,INR,Bangalore,2026-06-01T08:16:35,upi,False,
TX7ED98C4559,C0233,A0233,CARD0233,D00350,M0125,,164.01,INR,Mumbai,2026-06-01T08:22:02,wallet,False,
TX883B096F9B,C0257,A0257,CARD0257,D00385,M0150,,2200.95,INR,Delhi,2026-06-01T08:38:03,card,False,
TX185391FCDB,C0138,A0138,CARD0138,D00209,M0051,,1314.63,INR,Chennai,2026-06-01T08:42:37,upi,False,
TX74707A81FC,C0152,A0152,CARD0152,D00232,M0005,,841.76,INR,Chennai,2026-06-01T08:43:22,upi,False,
TXFD47887983,C0238,A0238,CARD0238,D00355,M0037,,2438.63,INR,Hyderabad,2026-06-01T08:45:20,wallet,False,
TXF0258A22F9,C0143,A0143,CARD0143,D00218,M0051,,349.08,INR,Delhi,2026-06-01T08:50:54,netbanking,False,
TX0E9FC5AFF7,C0162,A0162,CARD0162,D00245,M0032,,738.79,INR,Pune,2026-06-01T08:56:36,wallet,False,
TXA0D6751114,C0182,A0182,CARD0182,D00273,M0022,,417.38,INR,Pune,2026-06-01T08:57:00,upi,False,
TX1528E93431,C0172,A0172,CARD0172,D00258,M0107,,2285.47,INR,Delhi,2026-06-01T09:04:38,card,False,
TX1835BBED52,C0289,A0289,CARD0289,D00433,M0026,,531.18,INR,Hyderabad,2026-06-01T09:15:39,upi,False,
TX1338D441CE,C0056,A0056,CARD0056,D00081,M0099,,2571.36,INR,Kolkata,2026-06-01T09:31:42,card,False,
TX41140AD590,C0112,A0112,CARD0112,D00166,M0147,,1197.37,INR,Bangalore,2026-06-01T09:41:06,card,False,
TXB8E76A91EA,C0001,A0001,CARD0001,D00001,M0023,,888.06,INR,Mumbai,2026-06-01T09:53:49,wallet,False,
TXB292338A44,C0158,A0158,CARD0158,D00240,M0054,,6392.84,INR,Delhi,2026-06-01T09:54:48,upi,False,
TX00586ED3B7,C0015,A0015,CARD0015,D00023,M0148,,458.75,INR,Mumbai,2026-06-01T10:02:47,upi,False,
TXE0D1AB1E4A,C0064,A0064,CARD0064,D00091,M0074,,209.3,INR,Chennai,2026-06-01T10:09:06,card,False,
TX79C9A2028F,C0152,A0152,CARD0152,D00232,M0007,,798.04,INR,Chennai,2026-06-01T10:10:31,upi,False,
TX2133EC5C6F,C0100,A0100,CARD0100,D00150,M0098,,545.76,INR,Hyderabad,2026-06-01T10:11:17,upi,False,
TX503E92685D,C0142,A0142,CARD0142,D00216,M0013,,860.41,INR,Kolkata,2026-06-01T10:13:10,upi,False,
TXDF9C5D6CFD,C0010,A0010,CARD0010,D00018,M0092,B0128,458.03,INR,Hyderabad,2026-06-01T10:15:00,wallet,False,
TX3C542F76BB,C0095,A0095,CARD0095,D00140,M0034,,702.62,INR,Chennai,2026-06-01T10:20:25,card,False,
TX138446DA3E,C0152,A0152,CARD0152,D00232,M0031,,679.1,INR,Chennai,2026-06-01T10:20:52,wallet,False,
TXD6B6FAEB73,C0109,A0109,CARD0109,D00162,M0123,,672.76,INR,Hyderabad,2026-06-01T10:37:12,upi,False,
