customer_id,spending_band,typical_amount,amount_std,preferred_merchant_ids,preferred_categories,typical_device_ids,typical_location,hour_profile,typical_hour_start,typical_hour_end,txns_per_week
C0011,medium,1235.82,432.54,"[""M0126"", ""M0015"", ""M0105"", ""M0139"", ""M0003"", ""M0115"", ""M0041""]","[""Utilities"", ""Fashion"", ""Entertainment"", ""Healthcare""]","[""D00019""]",Chennai,lunch_shopper,12,15,10.8
C0012,low,419.85,146.95,"[""M0138"", ""M0037"", ""M0141"", ""M0106"", ""M0026"", ""M0041"", ""M0076"", ""M0113"", ""M0092"", ""M0133""]","[""Electronics"", ""Utilities"", ""Healthcare"", ""Grocery""]","[""D00020""]",Mumbai,lunch_shopper,12,15,3.3
C0013,medium,1894.6,663.11,"[""M0029"", ""M0021"", ""M0031"", ""M0079""]","[""Fuel"", ""Healthcare"", ""Travel""]","[""D00021""]",Hyderabad,lunch_shopper,12,15,1.1
C0014,low,1133.99,396.9,"[""M0009"", ""M0062"", ""M0091"", ""M0120"", ""M0048"", ""M0121"", ""M0131""]","[""E-commerce"", ""Fashion"", ""Electronics"", ""Utilities""]","[""D00022""]",Ahmedabad,night_owl,21,24,7.5
C0015,low,614.95,215.23,"[""M0113"", ""M0119"", ""M0147"", ""M0148"", ""M0135""]","[""Grocery"", ""Fashion"", ""Electronics""]","[""D00023"", ""D00024""]",Mumbai,morning_person,7,11,3.8
C0016,low,364.04,127.41,"[""M0138"", ""M0148"", ""M0025"", ""M0092"", ""M0066"", ""M0027"", ""M0059""]","[""Electronics"", ""E-commerce"", ""Grocery"", ""Fuel""]","[""D00025""]",Chennai,lunch_shopper,12,15,0.7
C0017,low,429.15,150.2,"[""M0012"", ""M0007"", ""M0130"", ""M0008"", ""M0021"", ""M0040""]","[""Electronics"", ""Healthcare""]","[""D00026"", ""D00027"", ""D00028""]",Mumbai,lunch_shopper,12,15,6.9
C0018,high,3501.11,1225.39,"[""M0116"", ""M0112"", ""M0144"", ""M0084""]","[""Fashion"", ""Grocery"", ""E-commerce""]","[""D00029""]",Hyderabad,night_owl,21,24,3.7
C0019,low,402.19,140.77,"[""M0079"", ""M0031"", ""M0099"", ""M0076"", ""M0008"", ""M0038"", ""M0002"", ""M0102"", ""M0120"", ""M0121"", ""M0148""]","[""Travel"", ""Healthcare"", ""Entertainment"", ""Electronics""]","[""D00030"", ""D00031""]",Mumbai,lunch_shopper,12,15,5.2
C0020,low,586.77,205.37,"[""M0130"", ""M0052"", ""M0131"", ""M0122""]","[""Electronics"", ""Entertainment"", ""Utilities"", ""Food Delivery""]","[""D00032""]",Chennai,morning_person,7,11,6.2
C0021,low,383.08,134.08,"[""M0047"", ""M0141"", ""M0088"", ""M0079"", ""M0075"", ""M0027"", ""M0082""]","[""Utilities"", ""Travel"", ""Fuel""]","[""D00033""]",Delhi,evening_shopper,18,22,2.6
C0022,low,313.42,109.7,"[""M0064"", ""M0009"", ""M0128"", ""M0040"", ""M0076"", ""M0041""]","[""E-commerce"", ""Healthcare""]","[""D00034""]",Mumbai,lunch_shopper,12,15,7.1
C0023,medium,1062.2,371.77,"[""M0070"", ""M0136"", ""M0111"", ""M0034"", ""M0071""]","[""Fashion"", ""Fuel""]","[""D00035""]",Delhi,morning_person,7,11,1.1
C0024,high,6313.46,2209.71,"[""M0039"", ""M0121"", ""M0019"", ""M0065"", ""M0086"", ""M0017"", ""M0042"", ""M0040"", ""M0097""]","[""Food Delivery"", ""Electronics"", ""Entertainment"", ""Healthcare""]","[""D00036""]",Hyderabad,evening_shopper,18,22,4.2
C0025,low,549.22,192.23,"[""M0006"", ""M0144"", ""M0138"", ""M0019"", ""M0100"", ""M0063"", ""M0117""]","[""E-commerce"", ""Electronics"", ""Grocery""]","[""D00037"", ""D00038"", ""D00039""]",Delhi,night_owl,21,24,1.9
C0026,low,771.73,270.11,"[""M0007"", ""M0148"", ""M0094"", ""M0072"", ""M0010"", ""M0052""]","[""Electronics"", ""Entertainment""]","[""D00040""]",Pune,lunch_shopper,12,15,4.3
C0027,low,224.55,78.59,"[""M0025"", ""M0069"", ""M0009"", ""M0124"", ""M0067"", ""M0057"", ""M0090""]","[""E-commerce"", ""Fuel"", ""Fashion""]","[""D00041""]",Chennai,lunch_shopper,12,15,5.9
C0028,high,3211.12,1123.89,"[""M0109"", ""M0084"", ""M0069""]","[""Grocery"", ""E-commerce""]","[""D00042"", ""D00043""]",Delhi,lunch_shopper,12,15,6.8
C0029,low,461.32,161.46,"[""M0048"", ""M0149"", ""M0110"", ""M0103"", ""M0025"", ""M0079""]","[""Electronics"", ""Grocery"", ""E-commerce"", ""Travel""]","[""D00044""]",Chennai,night_owl,21,24,4.3
C0030,medium,1168.2,408.87,"[""M0108"", ""M0080"", ""M0123"", ""M0001"", ""M0005""]","[""Food Delivery"", ""Fuel""]","[""D00045"", ""D00046""]",Kolkata,evening_shopper,18,22,5.6
C0031,low,386.62,135.32,"[""M0073"", ""M0084"", ""M0118"", ""M0129"", ""M0033"", ""M0112"", ""M0092""]","[""E-commerce"", ""Electronics"", ""Grocery""]","[""D00047""]",Ahmedabad,evening_shopper,18,22,2.2
C0032,low,572.74,200.46,"[""M0053"", ""M0009"", ""M0088"", ""M0146"", ""M0134"", ""M0093""]","[""E-commerce"", ""Travel"", ""Fashion""]","[""D00048""]",Delhi,evening_shopper,18,22,7.3
C0033,medium,1262.78,441.97,"[""M0113"", ""M0080"", ""M0044"", ""M0054"", ""M0072"", ""M0002""]","[""Grocery"", ""Food Delivery"", ""Entertainment""]","[""D00049"", ""D00050""]",Hyderabad,evening_shopper,18,22,4.8
C0034,low,743.64,260.27,"[""M0104"", ""M0141"", ""M0067"", ""M0115"", ""M0099""]","[""Utilities"", ""Fuel"", ""Healthcare""]","[""D00051""]",Kolkata,lunch_shopper,12,15,3.8
C0035,low,399.17,139.71,"[""M0081"", ""M0124"", ""M0019""]","[""Travel"", ""Fuel"", ""Electronics""]","[""D00052""]",Ahmedabad,morning_person,7,11,2.6
C0036,low,722.07,252.72,"[""M0140"", ""M0131"", ""M0135"", ""M0043"", ""M0068"", ""M0115""]","[""Utilities"", ""Electronics"", ""Healthcare""]","[""D00053"", ""D00054""]",Mumbai,lunch_shopper,12,15,2.6
C0037,low,493.51,172.73,"[""M0084"", ""M0121"", ""M0120"", ""M0007"", ""M0098"", ""M0033"", ""M0117"", ""M0134""]","[""E-commerce"", ""Electronics"", ""Grocery"", ""Travel""]","[""D00055""]",Kolkata,evening_shopper,18,22,2.8
C0038,medium,1314.68,460.14,"[""M0104"", ""M0045"", ""M0106"", ""M0081"", ""M0079"", ""M0100"", ""M0132"", ""M0127""]","[""Utilities"", ""Travel"", ""Grocery""]","[""D00056""]",Kolkata,lunch_shopper,12,15,2.6
C0039,medium,1410.38,493.63,"[""M0074"", ""M0123"", ""M0018"", ""M0057"", ""M0142""]","[""Food Delivery"", ""Fashion""]","[""D00057""]",Hyderabad,lunch_shopper,12,15,4.5
C0040,low,371.33,129.97,"[""M0119"", ""M0105"", ""M0120"", ""M0118"", ""M0007""]","[""Fashion"", ""Electronics""]","[""D00058""]",Mumbai,lunch_shopper,12,15,8.4
C0041,high,2763.82,967.34,"[""M0011"", ""M0083"", ""M0084"", ""M0053"", ""M0133"", ""M0150""]","[""Utilities"", ""E-commerce"", ""Grocery""]","[""D00059"", ""D00060""]",Hyderabad,lunch_shopper,12,15,3.3
C0042,low,508.11,177.84,"[""M0109"", ""M0112"", ""M0026"", ""M0068"", ""M0115"", ""M0062"", ""M0006"", ""M0053""]","[""Grocery"", ""Healthcare"", ""E-commerce""]","[""D00061"", ""D00062""]",Mumbai,morning_person,7,11,2.3
C0043,low,465.12,162.79,"[""M0020"", ""M0042"", ""M0040"", ""M0077"", ""M0089""]","[""Entertainment"", ""Healthcare"", ""Utilities""]","[""D00063""]",Ahmedabad,evening_shopper,18,22,4.2
C0044,high,5442.24,1904.78,"[""M0108"", ""M0094"", ""M0097""]","[""Food Delivery"", ""Electronics"", ""Healthcare""]","[""D00064""]",Hyderabad,morning_person,7,11,3.3
C0045,medium,2085.67,729.98,"[""M0064"", ""M0049"", ""M0139"", ""M0012"", ""M0129"", ""M0048""]","[""E-commerce"", ""Utilities"", ""Fashion"", ""Electronics""]","[""D00065""]",Bangalore,night_owl,21,24,5.7
C0046,medium,1163.81,407.33,"[""M0003"", ""M0086"", ""M0149"", ""M0131"", ""M0141""]","[""Entertainment"", ""Electronics"", ""Utilities""]","[""D00066""]",Hyderabad,night_owl,21,24,8.3
C0047,low,587.61,205.66,"[""M0093"", ""M0023"", ""M0016"", ""M0121"", ""M0118"", ""M0083"", ""M0032"", ""M0125"", ""M0030"", ""M0006"", ""M0053""]","[""Fashion"", ""Electronics"", ""Utilities"", ""E-commerce""]","[""D00067""]",Delhi,night_owl,21,24,12.8
C0048,low,424.95,148.73,"[""M0099"", ""M0095"", ""M0020"", ""M0086"", ""M0127"", ""M0117"", ""M0113""]","[""Healthcare"", ""Entertainment"", ""Grocery""]","[""D00068"", ""D00069"", ""D00070""]",Bangalore,evening_shopper,18,22,6.3
C0049,low,507.7,177.69,"[""M0048"", ""M0138"", ""M0122"", ""M0123""]","[""Electronics"", ""Food Delivery""]","[""D00071""]",Pune,night_owl,21,24,2.2
C0050,low,494.1,172.94,"[""M0051"", ""M0038"", ""M0020"", ""M0099"", ""M0041"", ""M0076""]","[""Fuel"", ""Entertainment"", ""Healthcare""]","[""D00072"", ""D00073""]",Pune,morning_person,7,11,2.5
C0051,low,358.28,125.4,"[""M0118"", ""M0120"", ""M0121"", ""M0139""]","[""Electronics"", ""Fashion""]","[""D00074""]",Hyderabad,night_owl,21,24,4.7
C0052,low,593.58,207.75,"[""M0118"", ""M0046"", ""M0054"", ""M0074""]","[""Electronics"", ""Food Delivery""]","[""D00075""]",Mumbai,night_owl,21,24,2.9
C0053,high,3885.57,1359.95,"[""M0117"", ""M0100"", ""M0081"", ""M0079"", ""M0111""]","[""Grocery"", ""Travel"", ""Fuel""]","[""D00076"", ""D00077""]",Mumbai,lunch_shopper,12,15,2.6
C0054,low,442.74,154.96,"[""M0134"", ""M0081"", ""M0088"", ""M0114"", ""M0072"", ""M0086"", ""M0023"", ""M0087"", ""M0048"", ""M0094""]","[""Travel"", ""Entertainment"", ""Fashion"", ""Electronics""]","[""D00078"", ""D00079""]",Bangalore,lunch_shopper,12,15,5.0
C0055,low,527.55,184.64,"[""M0146"", ""M0102"", ""M0010"", ""M0085"", ""M0039"", ""M0036"", ""M0028"", ""M0058"", ""M0128""]","[""Travel"", ""Entertainment"", ""Food Delivery"", ""E-commerce""]","[""D00080""]",Bangalore,night_owl,21,24,8.0
C0056,high,4458.88,1560.61,"[""M0039"", ""M0068"", ""M0021""]","[""Food Delivery"", ""Healthcare""]","[""D00081""]",Kolkata,morning_person,7,11,2.8
C0057,low,532.7,186.44,"[""M0080"", ""M0122"", ""M0046"", ""M0118"", ""M0120"", ""M0148"", ""M0119"", ""M0093"", ""M0064"", ""M0006"", ""M0144""]","[""Food Delivery"", ""Electronics"", ""Fashion"", ""E-commerce""]","[""D00082""]",Delhi,morning_person,7,11,5.8
C0058,medium,2185.98,765.09,"[""M0018"", ""M0070"", ""M0090"", ""M0108""]","[""Fashion"", ""Food Delivery""]","[""D00083"", ""D00084""]",Chennai,morning_person,7,11,1.6
C0059,low,531.2,185.92,"[""M0040"", ""M0145"", ""M0061"", ""M0085"", ""M0039"", ""M0046""]","[""Healthcare"", ""Utilities"", ""Food Delivery""]","[""D00085""]",Ahmedabad,evening_shopper,18,22,4.3
C0060,medium,1584.28,554.5,"[""M0049"", ""M0140"", ""M0037"", ""M0057"", ""M0018"", ""M0063"", ""M0064"", ""M0073""]","[""Utilities"", ""Fashion"", ""Grocery"", ""E-commerce""]","[""D00086""]",Mumbai,evening_shopper,18,22,6.0
C0061,low,538.03,188.31,"[""M0108"", ""M0085"", ""M0122"", ""M0150"", ""M0096""]","[""Food Delivery"", ""Grocery"", ""Utilities""]","[""D00087""]",Delhi,evening_shopper,18,22,1.8
C0062,medium,1560.01,546.0,"[""M0148"", ""M0149"", ""M0129"", ""M0015"", ""M0091"", ""M0016""]","[""Electronics"", ""Fashion""]","[""D00088""]",Mumbai,lunch_shopper,12,15,1.1
C0063,low,344.68,120.64,"[""M0097"", ""M0068"", ""M0085"", ""M0052"", ""M0038"", ""M0060"", ""M0075""]","[""Healthcare"", ""Food Delivery"", ""Entertainment"", ""Travel""]","[""D00089"", ""D00090""]",Delhi,evening_shopper,18,22,5.3
C0064,low,393.33,137.67,"[""M0039"", ""M0074"", ""M0109"", ""M0033"", ""M0128"", ""M0062""]","[""Food Delivery"", ""Grocery"", ""E-commerce""]","[""D00091""]",Chennai,morning_person,7,11,1.2
C0065,low,657.87,230.25,"[""M0042"", ""M0078"", ""M0068"", ""M0117"", ""M0013"", ""M0092"", ""M0062"", ""M0024"", ""M0120"", ""M0135""]","[""Healthcare"", ""Grocery"", ""E-commerce"", ""Electronics""]","[""D00092"", ""D00093""]",Hyderabad,night_owl,21,24,4.5
C0066,low,379.82,132.94,"[""M0011"", ""M0126"", ""M0096"", ""M0090"", ""M0055"", ""M0097""]","[""Utilities"", ""Fashion"", ""Entertainment"", ""Healthcare""]","[""D00094""]",Bangalore,lunch_shopper,12,15,3.7
C0067,low,377.34,132.07,"[""M0085"", ""M0046"", ""M0146"", ""M0075"", ""M0047"", ""M0137"", ""M0057"", ""M0018"", ""M0091""]","[""Food Delivery"", ""Travel"", ""Utilities"", ""Fashion""]","[""D00095"", ""D00096""]",Ahmedabad,night_owl,21,24,1.6
C0068,low,641.37,224.48,"[""M0122"", ""M0123"", ""M0058"", ""M0128"", ""M0024"", ""M0126"", ""M0106"", ""M0051"", ""M0067""]","[""Food Delivery"", ""E-commerce"", ""Utilities"", ""Fuel""]","[""D00097""]",Kolkata,night_owl,21,24,2.8
C0069,low,494.67,173.13,"[""M0119"", ""M0077"", ""M0127"", ""M0112"", ""M0143""]","[""Fashion"", ""Utilities"", ""Grocery""]","[""D00098""]",Kolkata,lunch_shopper,12,15,8.7
C0070,medium,970.76,339.77,"[""M0038"", ""M0003"", ""M0055"", ""M0146""]","[""Entertainment"", ""Travel""]","[""D00099"", ""D00100""]",Ahmedabad,night_owl,21,24,3.2
C0071,low,357.36,125.08,"[""M0127"", ""M0038"", ""M0086""]","[""Grocery"", ""Entertainment""]","[""D00101""]",Mumbai,night_owl,21,24,4.7
C0072,medium,1426.19,499.17,"[""M0134"", ""M0031"", ""M0081"", ""M0098"", ""M0082"", ""M0034"", ""M0029""]","[""Travel"", ""Grocery"", ""Fuel""]","[""D00102"", ""D00103""]",Chennai,morning_person,7,11,5.6
C0073,low,382.21,133.77,"[""M0135"", ""M0008"", ""M0115""]","[""Electronics"", ""Healthcare""]","[""D00104""]",Delhi,evening_shopper,18,22,0.8
C0074,medium,1121.23,392.43,"[""M0029"", ""M0096"", ""M0131"", ""M0141"", ""M0063""]","[""Fuel"", ""Utilities"", ""Grocery""]","[""D00105""]",Ahmedabad,lunch_shopper,12,15,2.2
C0075,low,519.03,181.66,"[""M0037"", ""M0049"", ""M0104"", ""M0091"", ""M0136"", ""M0147"", ""M0008"", ""M0068"", ""M0041""]","[""Utilities"", ""Fashion"", ""Healthcare""]","[""D00106"", ""D00107"", ""D00108""]",Hyderabad,lunch_shopper,12,15,4.4
C0076,low,528.1,184.84,"[""M0050"", ""M0104"", ""M0061"", ""M0080"", ""M0033"", ""M0098""]","[""Utilities"", ""Food Delivery"", ""Grocery""]","[""D00109""]",Ahmedabad,night_owl,21,24,1.7
C0077,low,501.43,175.5,"[""M0080"", ""M0054"", ""M0036"", ""M0141"", ""M0014"", ""M0137"", ""M0058"", ""M0128"", ""M0028"", ""M0150""]","[""Food Delivery"", ""Utilities"", ""E-commerce"", ""Grocery""]","[""D00110"", ""D00111""]",Mumbai,evening_shopper,18,22,1.2
C0078,medium,1923.18,673.11,"[""M0141"", ""M0037"", ""M0140"", ""M0123""]","[""Utilities"", ""Food Delivery""]","[""D00112""]",Pune,morning_person,7,11,6.9
C0079,low,325.94,114.08,"[""M0144"", ""M0051"", ""M0111"", ""M0010"", ""M0017""]","[""E-commerce"", ""Fuel"", ""Entertainment""]","[""D00113""]",Delhi,lunch_shopper,12,15,1.5
C0080,medium,1621.87,567.65,"[""M0081"", ""M0061"", ""M0077"", ""M0085""]","[""Travel"", ""Utilities"", ""Food Delivery""]","[""D00114"", ""D00115""]",Ahmedabad,morning_person,7,11,4.0
C0081,low,575.08,201.28,"[""M0022"", ""M0112"", ""M0081""]","[""Grocery"", ""Travel""]","[""D00116""]",Pune,morning_person,7,11,8.1
C0082,low,662.79,231.98,"[""M0046"", ""M0085"", ""M0036"", ""M0133"", ""M0109"", ""M0098"", ""M0005"", ""M0082"", ""M0066"", ""M0028"", ""M0069"", ""M0053""]","[""Food Delivery"", ""Grocery"", ""Fuel"", ""E-commerce""]","[""D00117"", ""D00118""]",Kolkata,morning_person,7,11,2.6
C0083,low,618.74,216.56,"[""M0039"", ""M0076""]","[""Food Delivery"", ""Healthcare""]","[""D00119"", ""D00120""]",Ahmedabad,lunch_shopper,12,15,3.8
C0084,low,381.16,133.41,"[""M0060"", ""M0134"", ""M0113"", ""M0100"", ""M0013"", ""M0038"", ""M0017"", ""M0055""]","[""Travel"", ""Grocery"", ""Entertainment""]","[""D00121""]",Ahmedabad,night_owl,21,24,13.6
C0085,high,2806.86,982.4,"[""M0118"", ""M0029"", ""M0005"", ""M0060"", ""M0079""]","[""Electronics"", ""Fuel"", ""Travel""]","[""D00122"", ""D00123""]",Delhi,morning_person,7,11,2.4
C0086,low,504.75,176.66,"[""M0147"", ""M0086"", ""M0049""]","[""Fashion"", ""Entertainment"", ""Utilities""]","[""D00124"", ""D00125""]",Pune,evening_shopper,18,22,2.3
C0087,medium,2052.24,718.28,"[""M0028"", ""M0084"", ""M0024"", ""M0123"", ""M0010"", ""M0094""]","[""E-commerce"", ""Food Delivery"", ""Entertainment"", ""Electronics""]","[""D00126""]",Pune,lunch_shopper,12,15,9.2
C0088,low,512.12,179.24,"[""M0010"", ""M0080"", ""M0108"", ""M0039""]","[""Entertainment"", ""Food Delivery""]","[""D00127"", ""D00128""]",Bangalore,morning_person,7,11,1.8
C0089,medium,1579.62,552.87,"[""M0079"", ""M0031"", ""M0088"", ""M0121"", ""M0065"", ""M0120"", ""M0008"", ""M0115"", ""M0068""]","[""Travel"", ""Electronics"", ""Healthcare""]","[""D00129"", ""D00130"", ""D00131""]",Mumbai,night_owl,21,24,14.1
C0090,low,856.65,299.83,"[""M0021"", ""M0137"", ""M0037""]","[""Healthcare"", ""Utilities""]","[""D00132"", ""D00133""]",Mumbai,morning_person,7,11,0.5
C0091,low,521.1,182.38,"[""M0125"", ""M0061"", ""M0104"", ""M0101"", ""M0060"", ""M0146"", ""M0005"", ""M0082"", ""M0111"", ""M0087"", ""M0119"", ""M0136""]","[""Utilities"", ""Travel"", ""Fuel"", ""Fashion""]","[""D00134"", ""D00135""]",Kolkata,lunch_shopper,12,15,2.3
C0092,low,298.65,104.53,"[""M0113"", ""M0109"", ""M0050"", ""M0083"", ""M0037"", ""M0149"", ""M0120"", ""M0012""]","[""Grocery"", ""Utilities"", ""Electronics""]","[""D00136""]",Delhi,morning_person,7,11,4.8
C0093,medium,1919.32,671.76,"[""M0110"", ""M0056"", ""M0133"", ""M0129""]","[""Grocery"", ""Electronics""]","[""D00137""]",Mumbai,evening_shopper,18,22,2.5
C0094,medium,1345.67,470.98,"[""M0071"", ""M0034"", ""M0033"", ""M0143"", ""M0025"", ""M0024"", ""M0069""]","[""Fuel"", ""Grocery"", ""E-commerce""]","[""D00138"", ""D00139""]",Chennai,night_owl,21,24,10.3
C0095,low,556.4,194.74,"[""M0005"", ""M0034"", ""M0079"", ""M0101"", ""M0134""]","[""Fuel"", ""Travel""]","[""D00140""]",Chennai,morning_person,7,11,4.4
C0096,low,808.68,283.04,"[""M0054"", ""M0074"", ""M0122"", ""M0024"", ""M0086"", ""M0043"", ""M0021"", ""M0026""]","[""Food Delivery"", ""E-commerce"", ""Entertainment"", ""Healthcare""]","[""D00141"", ""D00142""]",Bangalore,morning_person,7,11,0.7
C0097,low,426.12,149.14,"[""M0070"", ""M0107"", ""M0109"", ""M0143"", ""M0060"", ""M0031"", ""M0146"", ""M0137""]","[""Fashion"", ""Grocery"", ""Travel"", ""Utilities""]","[""D00143""]",Ahmedabad,morning_person,7,11,2.8
C0098,low,864.03,302.41,"[""M0068"", ""M0043"", ""M0041"", ""M0132"", ""M0083""]","[""Healthcare"", ""Grocery"", ""Utilities""]","[""D00144"", ""D00145"", ""D00146""]",Mumbai,night_owl,21,24,1.3
C0099,low,804.1,281.44,"[""M0089"", ""M0008"", ""M0115"", ""M0040"", ""M0046"", ""M0044"", ""M0028"", ""M0030""]","[""Utilities"", ""Healthcare"", ""Food Delivery"", ""E-commerce""]","[""D00147"", ""D00148""]",Mumbai,morning_person,7,11,0.8
C0100,low,474.13,165.95,"[""M0098"", ""M0132"", ""M0133"", ""M0114"", ""M0038"", ""M0003"", ""M0031"", ""M0101"", ""M0136""]","[""Grocery"", ""Entertainment"", ""Travel"", ""Fashion""]","[""D00149"", ""D00150""]",Hyderabad,morning_person,7,11,2.3
C0101,high,6967.06,2438.47,"[""M0112"", ""M0077"", ""M0134"", ""M0038"", ""M0003"", ""M0052""]","[""Grocery"", ""Utilities"", ""Travel"", ""Entertainment""]","[""D00151""]",Mumbai,morning_person,7,11,3.4
C0102,low,463.71,162.3,"[""M0109"", ""M0098"", ""M0075"", ""M0060"", ""M0130"", ""M0012"", ""M0121"", ""M0087"", ""M0107"", ""M0142""]","[""Grocery"", ""Travel"", ""Electronics"", ""Fashion""]","[""D00152"", ""D00153""]",Hyderabad,lunch_shopper,12,15,3.5
C0103,low,509.82,178.44,"[""M0122"", ""M0018""]","[""Food Delivery"", ""Fashion""]","[""D00154"", ""D00155""]",Hyderabad,lunch_shopper,12,15,5.4
C0104,medium,1230.85,430.8,"[""M0097"", ""M0115"", ""M0078"", ""M0140"", ""M0077"", ""M0134"", ""M0066""]","[""Healthcare"", ""Utilities"", ""Travel"", ""Fuel""]","[""D00156""]",Pune,night_owl,21,24,12.3
C0105,medium,1414.41,495.04,"[""M0032"", ""M0061"", ""M0104"", ""M0006"", ""M0144"", ""M0034"", ""M0005""]","[""Utilities"", ""E-commerce"", ""Fuel""]","[""D00157""]",Hyderabad,morning_person,7,11,5.1
C0106,low,425.84,149.04,"[""M0092"", ""M0109"", ""M0127"", ""M0026"", ""M0008"", ""M0068"", ""M0084"", ""M0018"", ""M0142""]","[""Grocery"", ""Healthcare"", ""E-commerce"", ""Fashion""]","[""D00158""]",Bangalore,lunch_shopper,12,15,3.9
C0107,low,412.89,144.51,"[""M0041"", ""M0043"", ""M0077"", ""M0141"", ""M0002"", ""M0095"", ""M0102"", ""M0060"", ""M0088""]","[""Healthcare"", ""Utilities"", ""Entertainment"", ""Travel""]","[""D00159""]",Bangalore,morning_person,7,11,6.0
C0108,medium,1969.63,689.37,"[""M0039"", ""M0122"", ""M0037"", ""M0083"", ""M0061"", ""M0102"", ""M0095"", ""M0052""]","[""Food Delivery"", ""Utilities"", ""Entertainment""]","[""D00160""]",Delhi,lunch_shopper,12,15,8.7
C0109,low,628.83,220.09,"[""M0123"", ""M0074"", ""M0146""]","[""Food Delivery"", ""Travel""]","[""D00161"", ""D00162""]",Hyderabad,morning_person,7,11,5.2
C0110,low,581.45,203.51,"[""M0081"", ""M0075"", ""M0051"", ""M0025"", ""M0144""]","[""Travel"", ""Fuel"", ""E-commerce""]","[""D00163""]",Pune,lunch_shopper,12,15,1.8
C0111,low,489.67,171.38,"[""M0094"", ""M0138"", ""M0129"", ""M0101"", ""M0024""]","[""Electronics"", ""Travel"", ""E-commerce""]","[""D00164"", ""D00165""]",Hyderabad,lunch_shopper,12,15,3.6
C0112,medium,1211.05,423.87,"[""M0095"", ""M0102"", ""M0068"", ""M0028"", ""M0084"", ""M0073"", ""M0090"", ""M0147""]","[""Entertainment"", ""Healthcare"", ""E-commerce"", ""Fashion""]","[""D00166""]",Bangalore,evening_shopper,18,22,7.3
C0113,high,4604.07,1611.42,"[""M0093"", ""M0116"", ""M0067"", ""M0059"", ""M0027"", ""M0115""]","[""Fashion"", ""Fuel"", ""Healthcare""]","[""D00167"", ""D00168""]",Bangalore,lunch_shopper,12,15,7.1
C0114,medium,1309.79,458.43,"[""M0021"", ""M0099"", ""M0076"", ""M0034""]","[""Healthcare"", ""Fuel""]","[""D00169"", ""D00170""]",Kolkata,morning_person,7,11,4.1
C0115,medium,2189.97,766.49,"[""M0021"", ""M0040"", ""M0088"", ""M0031"", ""M0002"", ""M0052""]","[""Healthcare"", ""Travel"", ""Entertainment""]","[""D00171"", ""D00172""]",Mumbai,evening_shopper,18,22,3.4
C0116,low,458.62,160.52,"[""M0051"", ""M0105""]","[""Fuel"", ""Fashion""]","[""D00173""]",Bangalore,lunch_shopper,12,15,6.1
