card_id,account_id,customer_id,card_type,card_network,issued_date
CARD0089,A0089,C0089,debit,Mastercard,2024-05-06
CARD0090,A0090,C0090,debit,Visa,2024-06-01
CARD0091,A0091,C0091,debit,Mastercard,2024-10-15
CARD00912,A0091,C0091,credit,RuPay,2024-10-15
CARD0092,A0092,C0092,debit,RuPay,2023-10-27
CARD0093,A0093,C0093,debit,Visa,2025-08-12
CARD0094,A0094,C0094,credit,RuPay,2024-08-08
CARD0095,A0095,C0095,debit,Mastercard,2025-01-18
CARD0096,A0096,C0096,credit,RuPay,2025-02-23
CARD0097,A0097,C0097,debit,Mastercard,2024-02-23
CARD0098,A0098,C0098,debit,Mastercard,2023-10-26
CARD0099,A0099,C0099,debit,Visa,2024-12-27
CARD0100,A0100,C0100,credit,Visa,2025-04-17
CARD0101,A0101,C0101,debit,RuPay,2025-07-05
CARD01012,A0101,C0101,debit,Mastercard,2025-07-05
CARD0102,A0102,C0102,credit,Visa,2026-07-04
CARD0103,A0103,C0103,debit,Mastercard,2023-12-14
CARD0104,A0104,C0104,debit,RuPay,2024-12-06
CARD0105,A0105,C0105,debit,RuPay,2025-05-14
CARD0106,A0106,C0106,debit,Visa,2025-06-11
CARD0107,A0107,C0107,credit,Mastercard,2025-05-19
CARD0108,A0108,C0108,debit,Mastercard,2024-07-19
CARD0109,A0109,C0109,debit,Visa,2025-07-14
CARD0110,A0110,C0110,debit,RuPay,2025-09-01
CARD0111,A0111,C0111,credit,Visa,2025-11-05
CARD0112,A0112,C0112,debit,Visa,2026-07-08
CARD0113,A0113,C0113,credit,RuPay,2024-04-12
CARD0114,A0114,C0114,credit,RuPay,2025-09-04
CARD0115,A0115,C0115,debit,Visa,2026-05-02
CARD0116,A0116,C0116,credit,RuPay,2025-05-09
CARD01162,A0116,C0116,debit,RuPay,2025-05-09
CARD0117,A0117,C0117,debit,RuPay,2024-02-09
CARD0118,A0118,C0118,debit,Visa,2025-11-09
CARD0119,A0119,C0119,credit,Mastercard,2024-03-03
CARD0120,A0120,C0120,credit,Mastercard,2026-06-30
CARD0121,A0121,C0121,debit,Mastercard,2025-06-20
CARD0122,A0122,C0122,debit,RuPay,2025-07-27
CARD0123,A0123,C0123,credit,RuPay,2025-11-14
CARD01232,A0123,C0123,credit,RuPay,2025-11-14
CARD0124,A0124,C0124,debit,Visa,2025-07-11
CARD0125,A0125,C0125,debit,Visa,2024-10-23
CARD01252,A0125,C0125,debit,Mastercard,2024-10-23
CARD0126,A0126,C0126,debit,RuPay,2023-12-31
CARD0127,A0127,C0127,credit,RuPay,2025-04-14
CARD0128,A0128,C0128,credit,Visa,2025-06-02
CARD0129,A0129,C0129,debit,Mastercard,2025-06-03
CARD0130,A0130,C0130,debit,Visa,2025-04-24
CARD0131,A0131,C0131,credit,RuPay,2023-09-06
CARD01312,A0131,C0131,credit,Visa,2023-09-06
CARD0132,A0132,C0132,debit,RuPay,2025-06-08
CARD0133,A0133,C0133,debit,RuPay,2024-10-24
CARD0134,A0134,C0134,credit,Visa,2025-04-23
CARD0135,A0135,C0135,credit,Mastercard,2025-08-23
CARD01352,A0135,C0135,debit,Visa,2025-08-23
CARD0136,A0136,C0136,debit,Visa,2026-03-04
CARD01362,A0136,C0136,credit,RuPay,2026-03-04
CARD0137,A0137,C0137,debit,RuPay,2024-03-25
CARD0138,A0138,C0138,debit,Visa,2024-10-05
CARD0139,A0139,C0139,debit,RuPay,2025-08-03
CARD0140,A0140,C0140,debit,RuPay,2024-11-02
CARD0141,A0141,C0141,debit,Mastercard,2025-08-27
CARD0142,A0142,C0142,credit,Mastercard,2024-08-10
CARD0143,A0143,C0143,debit,RuPay,2024-09-15
CARD0144,A0144,C0144,debit,RuPay,2024-09-01
CARD01442,A0144,C0144,credit,Visa,2024-09-01
CARD0145,A0145,C0145,debit,Visa,2026-01-20
CARD0146,A0146,C0146,debit,Mastercard,2025-03-23
CARD0147,A0147,C0147,debit,RuPay,2024-12-23
CARD0148,A0148,C0148,credit,Mastercard,2026-02-07
CARD0149,A0149,C0149,credit,Mastercard,2023-12-24
CARD0150,A0150,C0150,debit,Visa,2026-07-25
CARD01502,A0150,C0150,debit,RuPay,2026-07-25
CARD0151,A0151,C0151,credit,Mastercard,2025-12-02
CARD01512,A0151,C0151,debit,RuPay,2025-12-02
CARD0152,A0152,C0152,credit,Visa,2025-10-21
CARD0153,A0153,C0153,credit,RuPay,2025-09-27
CARD0154,A0154,C0154,credit,Mastercard,2026-05-11
CARD0155,A0155,C0155,debit,Mastercard,2024-05-27
CARD01552,A0155,C0155,credit,Visa,2024-05-27
CARD0156,A0156,C0156,debit,Visa,2025-07-04
CARD0157,A0157,C0157,debit,Visa,2024-01-09
CARD0158,A0158,C0158,debit,Mastercard,2025-08-18
CARD01582,A0158,C0158,debit,RuPay,2025-08-18
CARD0159,A0159,C0159,credit,RuPay,2025-10-03
CARD01592,A0159,C0159,debit,Visa,2025-10-03
CARD0160,A0160,C0160,debit,Mastercard,2024-07-22
CARD0161,A0161,C0161,credit,Mastercard,2024-11-04
CARD0162,A0162,C0162,debit,Visa,2024-06-19
CARD0163,A0163,C0163,debit,RuPay,2025-09-24
CARD01632,A0163,C0163,debit,Visa,2025-09-24
CARD0164,A0164,C0164,credit,Mastercard,2025-07-24
CARD0165,A0165,C0165,debit,Mastercard,2024-08-06
CARD0166,A0166,C0166,debit,RuPay,2026-06-24
CARD0167,A0167,C0167,credit,RuPay,2025-02-12
CARD01672,A0167,C0167,credit,Visa,2025-02-12
CARD0168,A0168,C0168,debit,Mastercard,2025-08-01
CARD0169,A0169,C0169,debit,RuPay,2024-08-20
CARD0170,A0170,C0170,credit,Visa,2024-02-29
CARD0171,A0171,C0171,credit,Mastercard,2025-09-18
CARD01712,A0171,C0171,credit,RuPay,2025-09-18
CARD0172,A0172,C0172,credit,Mastercard,2024-06-24
CARD01722,A0172,C0172,debit,RuPay,2024-06-24
CARD0173,A0173,C0173,debit,RuPay,2024-06-01
CARD0174,A0174,C0174,credit,RuPay,2024-03-11
CARD0175,A0175,C0175,debit,Mastercard,2026-01-03
CARD0176,A0176,C0176,debit,Mastercard,2024-02-03
CARD0177,A0177,C0177,credit,Visa,2025-09-09
CARD0178,A0178,C0178,debit,Mastercard,2023-11-15
CARD0179,A0179,C0179,debit,Visa,2023-12-07
CARD0180,A0180,C0180,debit,RuPay,2026-02-09
CARD0181,A0181,C0181,credit,Visa,2026-01-18
CARD01812,A0181,C0181,debit,Mastercard,2026-01-18
CARD0182,A0182,C0182,debit,Mastercard,2024-02-28
CARD0183,A0183,C0183,credit,RuPay,2025-04-09
CARD0184,A0184,C0184,credit,Mastercard,2026-02-27
CARD01842,A0184,C0184,credit,Visa,2026-02-27
CARD0185,A0185,C0185,debit,Mastercard,2026-04-01
CARD0186,A0186,C0186,credit,RuPay,2024-10-12
CARD01862,A0186,C0186,credit,Visa,2024-10-12
CARD0187,A0187,C0187,debit,Visa,2024-05-24
CARD01872,A0187,C0187,debit,RuPay,2024-05-24
CARD0188,A0188,C0188,credit,Mastercard,2025-05-23
CARD01882,A0188,C0188,credit,Visa,2025-05-23
CARD0189,A0189,C0189,credit,Visa,2023-10-17
CARD0190,A0190,C0190,credit,Mastercard,2025-08-02
CARD0191,A0191,C0191,credit,Visa,2026-04-24
CARD01912,A0191,C0191,debit,RuPay,2026-04-24
CARD0192,A0192,C0192,debit,Mastercard,2025-12-20
CARD0193,A0193,C0193,debit,Visa,2024-04-04
CARD0194,A0194,C0194,credit,Mastercard,2024-12-17
CARD0195,A0195,C0195,credit,RuPay,2025-08-25
CARD0196,A0196,C0196,credit,Mastercard,2025-10-13
CARD01962,A0196,C0196,debit,Mastercard,2025-10-13
CARD0197,A0197,C0197,debit,RuPay,2026-03-14
CARD0198,A0198,C0198,credit,Mastercard,2026-03-22
CARD0199,A0199,C0199,debit,Mastercard,2024-08-17
CARD0200,A0200,C0200,credit,Mastercard,2024-05-26
CARD0201,A0201,C0201,credit,Mastercard,2024-11-02
CARD0202,A0202,C0202,credit,Visa,2024-01-16
CARD02022,A0202,C0202,debit,RuPay,2024-01-16
CARD0203,A0203,C0203,debit,Mastercard,2025-01-26
CARD02032,A0203,C0203,credit,RuPay,2025-01-26
CARD0204,A0204,C0204,debit,Mastercard,2025-01-21
CARD0205,A0205,C0205,debit,RuPay,2026-06-22
CARD0206,A0206,C0206,debit,Visa,2024-01-11
CARD02062,A0206,C0206,debit,Mastercard,2024-01-11
CARD0207,A0207,C0207,credit,RuPay,2024-02-24
CARD02072,A0207,C0207,debit,RuPay,2024-02-24
CARD0208,A0208,C0208,debit,Mastercard,2026-06-14
CARD0209,A0209,C0209,debit,RuPay,2024-06-14
CARD0210,A0210,C0210,credit,Visa,2023-11-16
CARD0211,A0211,C0211,debit,Visa,2024-11-17
CARD02112,A0211,C0211,credit,RuPay,2024-11-17
CARD0212,A0212,C0212,debit,RuPay,2023-10-11
CARD0213,A0213,C0213,debit,Mastercard,2025-12-30
CARD0214,A0214,C0214,debit,Visa,2024-08-11
CARD0215,A0215,C0215,debit,RuPay,2026-05-30
CARD02152,A0215,C0215,credit,Mastercard,2026-05-30
CARD0216,A0216,C0216,credit,RuPay,2025-10-26
CARD0217,A0217,C0217,debit,RuPay,2025-08-30
CARD0218,A0218,C0218,debit,Visa,2025-04-14
CARD0219,A0219,C0219,credit,Visa,2023-12-14
CARD0220,A0220,C0220,debit,Mastercard,2025-10-24
CARD02202,A0220,C0220,credit,Mastercard,2025-10-24
CARD0221,A0221,C0221,credit,Mastercard,2024-12-03
CARD0222,A0222,C0222,credit,Visa,2025-12-11
CARD0223,A0223,C0223,debit,Visa,2026-01-01
CARD02232,A0223,C0223,debit,RuPay,2026-01-01
CARD0224,A0224,C0224,debit,Visa,2024-06-16
CARD0225,A0225,C0225,debit,Mastercard,2025-05-27
CARD0226,A0226,C0226,credit,Visa,2025-04-11
CARD02262,A0226,C0226,credit,Visa,2025-04-11
CARD0227,A0227,C0227,debit,Mastercard,2023-10-24
CARD0228,A0228,C0228,debit,RuPay,2024-01-30
CARD0229,A0229,C0229,debit,Visa,2025-08-06
CARD02292,A0229,C0229,debit,Mastercard,2025-08-06
CARD0230,A0230,C0230,debit,Mastercard,2026-06-10
CARD0231,A0231,C0231,credit,RuPay,2024-10-12
CARD0232,A0232,C0232,credit,Visa,2025-01-19
CARD0233,A0233,C0233,debit,Visa,2025-12-15
CARD02332,A0233,C0233,debit,RuPay,2025-12-15
CARD0234,A0234,C0234,debit,RuPay,2026-05-04
CARD02342,A0234,C0234,debit,Mastercard,2026-05-04
CARD0235,A0235,C0235,debit,RuPay,2025-07-02
CARD02352,A0235,C0235,credit,RuPay,2025-07-02
CARD0236,A0236,C0236,credit,RuPay,2024-05-12
CARD0237,A0237,C0237,debit,Mastercard,2025-01-12
CARD0238,A0238,C0238,debit,RuPay,2025-04-01
CARD02382,A0238,C0238,debit,Mastercard,2025-04-01
CARD0239,A0239,C0239,debit,RuPay,2025-11-30
CARD0240,A0240,C0240,credit,Visa,2024-05-25
CARD0241,A0241,C0241,debit,RuPay,2025-10-09
CARD0242,A0242,C0242,debit,RuPay,2026-05-14
CARD0243,A0243,C0243,debit,Visa,2026-06-28
CARD0244,A0244,C0244,credit,RuPay,2026-07-15
CARD0245,A0245,C0245,credit,Mastercard,2025-02-14
CARD0246,A0246,C0246,debit,Mastercard,2025-08-06
CARD0247,A0247,C0247,debit,Visa,2025-09-16
CARD0248,A0248,C0248,debit,Visa,2026-02-01
CARD02482,A0248,C0248,debit,Visa,2026-02-01
CARD0249,A0249,C0249,debit,RuPay,2023-10-01
CARD0250,A0250,C0250,credit,Mastercard,2026-01-23
CARD0251,A0251,C0251,credit,Mastercard,2024-08-19
CARD0252,A0252,C0252,debit,RuPay,2026-04-18
CARD0253,A0253,C0253,debit,RuPay,2026-04-28
CARD0254,A0254,C0254,debit,Visa,2023-10-18
CARD0255,A0255,C0255,debit,Mastercard,2024-11-28
CARD0256,A0256,C0256,credit,Mastercard,2024-07-04
CARD02562,A0256,C0256,debit,RuPay,2024-07-04
CARD0257,A0257,C0257,debit,Mastercard,2025-10-15
CARD02572,A0257,C0257,credit,RuPay,2025-10-15
CARD0258,A0258,C0258,credit,RuPay,2025-09-14
CARD02582,A0258,C0258,credit,Mastercard,2025-09-14
CARD0259,A0259,C0259,debit,Mastercard,2025-08-24
CARD02592,A0259,C0259,debit,RuPay,2025-08-24
CARD0260,A0260,C0260,credit,Visa,2026-07-13
CARD02602,A0260,C0260,debit,Mastercard,2026-07-13
CARD0261,A0261,C0261,credit,RuPay,2025-05-01
CARD0262,A0262,C0262,debit,RuPay,2024-03-06
CARD02622,A0262,C0262,debit,RuPay,2024-03-06
CARD0263,A0263,C0263,debit,Visa,2026-02-21
CARD0264,A0264,C0264,debit,Mastercard,2026-07-11
CARD0265,A0265,C0265,credit,RuPay,2026-04-16
CARD0266,A0266,C0266,credit,Mastercard,2026-05-11
CARD0267,A0267,C0267,credit,Visa,2024-02-25
CARD0268,A0268,C0268,debit,Visa,2024-12-12
CARD0269,A0269,C0269,credit,RuPay,2024-08-26
CARD0270,A0270,C0270,credit,Visa,2025-03-26
CARD0271,A0271,C0271,credit,Mastercard,2026-06-10
CARD02712,A0271,C0271,debit,Visa,2026-06-10
CARD0272,A0272,C0272,debit,RuPay,2024-11-04
CARD0273,A0273,C0273,debit,Mastercard,2025-07-16
CARD0274,A0274,C0274,debit,Visa,2024-01-29
CARD0275,A0275,C0275,debit,Mastercard,2025-05-07
CARD02752,A0275,C0275,debit,Visa,2025-05-07
CARD0276,A0276,C0276,debit,Mastercard,2025-08-03
CARD0277,A0277,C0277,debit,Mastercard,2023-11-14
CARD0278,A0278,C0278,credit,Visa,2026-01-21
CARD0279,A0279,C0279,debit,Mastercard,2026-02-23
CARD0280,A0280,C0280,debit,Mastercard,2024-04-13
CARD0281,A0281,C0281,debit,Visa,2024-03-16
CARD0282,A0282,C0282,debit,Visa,2026-06-19
CARD0283,A0283,C0283,debit,Visa,2025-03-06
CARD0284,A0284,C0284,debit,Mastercard,2024-05-24
CARD0285,A0285,C0285,credit,RuPay,2025-06-11
CARD0286,A0286,C0286,debit,Mastercard,2025-07-24
CARD0287,A0287,C0287,debit,Mastercard,2025-07-30
CARD0288,A0288,C0288,debit,RuPay,2024-12-08
CARD02882,A0288,C0288,debit,Visa,2024-12-08
CARD0289,A0289,C0289,debit,RuPay,2025-09-10
CARD0290,A0290,C0290,debit,Visa,2025-09-27
CARD02902,A0290,C0290,debit,RuPay,2025-09-27
CARD0291,A0291,C0291,debit,Visa,2025-01-09
CARD0292,A0292,C0292,debit,RuPay,2024-10-28
CARD02922,A0292,C0292,debit,RuPay,2024-10-28
CARD0293,A0293,C0293,debit,Visa,2024-11-28
CARD02932,A0293,C0293,credit,Visa,2024-11-28
CARD0294,A0294,C0294,credit,Mastercard,2024-01-29
CARD0295,A0295,C0295,debit,RuPay,2025-07-29
CARD0296,A0296,C0296,debit,RuPay,2025-08-01
CARD02962,A0296,C0296,debit,RuPay,2025-08-01
CARD0297,A0297,C0297,credit,RuPay,2024-12-25
CARD0298,A0298,C0298,credit,Visa,2025-03-31
CARD0299,A0299,C0299,debit,Visa,2024-01-16
CARD0300,A0300,C0300,credit,RuPay,2024-01-25
